Temp (K),El conc (kmol/m^3),D (m^2/s)
303.15,0,3.4009E-10
,0.05,3.27808E-10
,0.1,3.1593E-10
,0.15,3.04442E-10
,0.2,2.93332E-10
,0.25,2.8259E-10
,0.3,2.72203E-10
,0.35,2.62162E-10
,0.4,2.52455E-10
,0.45,2.43071E-10
,0.5,2.34002E-10
,0.55,2.25237E-10
,0.6,2.16767E-10
,0.65,2.08583E-10
,0.7,2.00675E-10
,0.75,1.93035E-10
,0.8,1.85655E-10
,0.85,1.78527E-10
,0.9,1.71642E-10
,0.95,1.64993E-10
,1,1.58572E-10
,1.05,1.52372E-10
,1.1,1.46386E-10
,1.15,1.40608E-10
,1.2,1.3503E-10
,1.25,1.29646E-10
,1.3,1.2445E-10
,1.35,1.19436E-10
,1.4,1.14597E-10
,1.45,1.09929E-10
,1.5,1.05425E-10
,1.55,1.01081E-10
,1.6,9.68902E-11
,1.65,9.28486E-11
,1.7,8.89511E-11
,1.75,8.51929E-11
,1.8,8.15693E-11
,1.85,7.80758E-11
,1.9,7.47083E-11
,1.95,7.14623E-11
,2,6.83339E-11
,2.05,6.53192E-11
,2.1,6.24142E-11
,2.15,5.96152E-11
,2.2,5.69188E-11
,2.25,5.43213E-11
,2.3,5.18195E-11
,2.35,4.941E-11
,2.4,4.70897E-11
,2.45,4.48556E-11
,2.5,4.27046E-11
,2.55,4.06339E-11
,2.6,3.86407E-11
,2.65,3.67223E-11
,2.7,3.48762E-11
,2.75,3.30998E-11
,2.8,3.13906E-11
,2.85,2.97464E-11
,2.9,2.81648E-11
,2.95,2.66437E-11
,3,2.5181E-11