Temp (K),El conc (kmol/m^3),gamma (-)
303.15,0,0.806611708
,0.05,0.800619622
,0.1,0.802620191
,0.15,0.812613416
,0.2,0.830599296
,0.25,0.856577832
,0.3,0.890549025
,0.35,0.932512872
,0.4,0.982469376
,0.45,1.040418535
,0.5,1.106360351
,0.55,1.180294822
,0.6,1.262221948
,0.65,1.352141731
,0.7,1.450054169
,0.75,1.555959263
,0.8,1.669857013
,0.85,1.791747418
,0.9,1.92163048
,0.95,2.059506197
,1,2.205374569
,1.05,2.359235598
,1.1,2.521089282
,1.15,2.690935623
,1.2,2.868774618
,1.25,3.05460627
,1.3,3.248430578
,1.35,3.450247541
,1.4,3.66005716
,1.45,3.877859434
,1.5,4.103654365
,1.55,4.337441951
,1.6,4.579222193
,1.65,4.828995091
,1.7,5.086760645
,1.75,5.352518854
,1.8,5.626269719
,1.85,5.90801324
,1.9,6.197749417
,1.95,6.495478249
,2,6.801199737
,2.05,7.114913881
,2.1,7.436620681
,2.15,7.766320136
,2.2,8.104012247
,2.25,8.449697014
,2.3,8.803374437
,2.35,9.165044516
,2.4,9.53470725
,2.45,9.91236264
,2.5,10.29801069
,2.55,10.69165139
,2.6,11.09328474
,2.65,11.50291076
,2.7,11.92052943
,2.75,12.34614075
,2.8,12.77974473
,2.85,13.22134137
,2.9,13.67093066
,2.95,14.12851261
,3,14.59408721